País,Fuente,Entidades Coincidentes,Términos del Sector,Palabras Clave (Keywords),Título,Fecha Publicación,URL Verificada,Resumen,Fecha_DT,Año,Mes_Num,Mes,Año-Mes
Brasil,Búsqueda BNDES (Google News),BNDES,N/A,"Descarbonização, Industrial, Brasil, Recebe, Bndes","Descarbonização industrial no Brasil recebe R$ 5,4 bi do BNDES - TrendsCE",2026-09-21 14:02,https://news.google.com/rss/articles/CBMiogFBVV95cUxQdFdCaUxfbXFmMk9UR2x1VXlyR2xvb3VXQ0VLLTU0MU9QT3pBa2wtN01OdnZoWmJhM1dXZ2RNWV9VVHQyS0Z4THpkV3pxUl9GcVRBaW10YUlSRUJRa0dMa01KZUY3M0IxUW45R2tISEF4NEVqczQ0eUphM0h0VzVPZ0dQVjJvQTUyME5pY0pESnYzUU11ZllDemY1SVJWeFA4eGc?oc=5,"Descarbonização industrial no Brasil recebe R$ 5,4 bi do BNDES TrendsCE",2026-09-21 14:02:00,2026,9,September,2026-09
Brasil,Búsqueda ONS (Google News),ONS,N/A,"Consolida, Acesso, Rede, Básica, Meio","ONS consolida 30,7 GW de acesso à rede básica por meio da Pnast - Times Brasil | CNBC",2026-09-21 13:30,https://news.google.com/rss/articles/CBMirwFBVV95cUxOWE5tUUdnRXo5WC1hSzRFUEhPRlJSeG9jMUV3ak9Jb25tLUpMNC15eXpOTldhTGppQVR6TGtoY0E4UDdLbC1xdDNzZ240Y2sxZkhmbXF5alpuLVl3M0JaRXNyYTkyUTVUcUxESjRyYV8yenluXzBmYTBjU0VOVU5EWTZ4UHJUM19JcnpsTG8tWkZIZjhjbFJRWEk4ajdKaXBXT3FrUm4zRjlNbGFwRHAw?oc=5,"ONS consolida 30,7 GW de acesso à rede básica por meio da Pnast Times Brasil | CNBC",2026-09-21 13:30:00,2026,9,September,2026-09
Brasil,Búsqueda BNDES (Google News),BNDES,N/A,"Bndes, Aprova, Micron, Leopoldo, Rádio","BNDES aprova R$ 84,86 mi para a HT Micron, de São Leopoldo - Rádio Guaíba",2026-09-21 13:15,https://news.google.com/rss/articles/CBMihAFBVV95cUxNcVZYR2NUTkZFTEY1Zmc2c0Q1TEZjVENvaVB6ZGV0T201Q3c2OWRSX2s2TUEzZlpsS2ZCS2xyU3RGVnFxa0RlQUpWWmVtS1p5YWdHWVBqYXBtVkd5VlVzSUtsZUJwaW1uS2NlZWxVSUZGQk5aT2Y2dnB1Z1NEZ1YxM1RuSjA?oc=5,"BNDES aprova R$ 84,86 mi para a HT Micron, de São Leopoldo Rádio Guaíba",2026-09-21 13:15:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Pede, Suspensão, Licença, Petrobras, Perfuração",MPF pede suspensão de licença da Petrobras para perfuração na Margem Equatorial - Rádio Metrópole,2026-09-21 13:05,https://news.google.com/rss/articles/CBMixwFBVV95cUxNRWFpRlFEV3ZodHFob0dKVXQtV19MMkdWY1paX1J0TlRaMGFCQ2lUSXplYnp4Q1hwTmhoS0JTRlRmNlBlMVV0T3FtR21iLVhSLTcyRFlqc3RmaUQybjZ5eTdnU2FvWWx6a2p4NW5qY0gxSjQtcWMxQmxKTGVGSDJXMFJjeDFXRGNicGNQU0cwc05QYzhuVGNWeGhFM1lndUtiM1A5ZjZUM0JvbFFPbTJnY3lXRXJFdFpjZ09POTltczRxYTQwQk1z?oc=5,MPF pede suspensão de licença da Petrobras para perfuração na Margem Equatorial Rádio Metrópole,2026-09-21 13:05:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Petrobras, Aprova, Adesão, Nova, Subvenção",Petrobras aprova adesão à nova subvenção para diesel - Minaspetro,2026-09-21 12:59,https://news.google.com/rss/articles/CBMihgFBVV95cUxPc01DWE5DMms4VklyX2tPNzlzTk1Oa1lkdmpMeHNFQ3JJcWtCNFl0cGNoODdiZkVhSDBZU3BNNkNyOHdEazFERHg0WHZlVGdjYjVTMEFwME9QeVI4TzhxaUJqN29DSWY0ZTJZV3hrWE1MRVZ1VGhuMmNJWFJLRTRhSms2N2RzZw?oc=5,Petrobras aprova adesão à nova subvenção para diesel Minaspetro,2026-09-21 12:59:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Petrobras, Atualiza, Projeta, Poços, Pesquisados","Petrobras atualiza como projeta US$ 2,5 bi em 15 poços pesquisados na Margem Equatorial - Ver-o-Fato",2026-09-21 12:48,https://news.google.com/rss/articles/CBMisgFBVV95cUxPOWJJLVNHbUhLNEpONUNzUXNCMnFpdUJndzRtZXpYWEpsSm1vT2p4VmJSNTgwLVVMNElYVE9sWm93ODVCVFh4bllVQTI1M1FUZ3Z6RDMtTTVGa29JSE5jTUhadllyeDNqR2xxTWNnWVpNWThIb09iOUg0Z3l2Mno3bU0yV1YtQVM4YTFtbnpuNkw4bUJhUTRoT1p4dVZ0SjZrVWRWZXVKY3pzaEJwVU5ZZ25B?oc=5,"Petrobras atualiza como projeta US$ 2,5 bi em 15 poços pesquisados na Margem Equatorial Ver-o-Fato",2026-09-21 12:48:00,2026,9,September,2026-09
Brasil,Búsqueda BNDES (Google News),BNDES,N/A,"Bndes, Registra, Bilhões, Pedidos, Crédito","BNDES registra R$ 8,2 bilhões em pedidos de crédito pelo Brasil Soberano - Business Moment",2026-09-21 12:38,https://news.google.com/rss/articles/CBMiowFBVV95cUxQZ211V3ZuZHVhdjlIZnNaVjc1XzlfR0tQSW80b1JVUjU2TWc3aTkwNlBtMzctTTNqZTdkZzFNTW1na0hUd1Zfal9hVHAybllrMzVubzcwbTdzcEZkQzJqdkhIQi1DZDhUZF9TcWI2em5HaDhHUVhLZktlVmdSNEFvclpJaUFsTjhkRTYzWHhyWDA1T2Y5MWhEaW9qNGo4ZHlCM2Zn0gGrAUFVX3lxTE9GNU1lbklwUEJQUVktVktnYUVuN3ZnUVpWWGlrUVgzQ19ja3JJU2Nzbkg5QTZuYVpDbVpzYVZXU2JfUElaQmJaWkF4NVZWaDVlQk5zam9IbTFtVFFTRlVvdU5LWndHSVY3cnp4V19wM0EyZXVEV1d2QmVaN3JPNHF4YXV5NHA3VEp3OXF2emVzdjhOUnNvMHIzWHVhSGxVU1ltc0pYQURKZVppYw?oc=5,"BNDES registra R$ 8,2 bilhões em pedidos de crédito pelo Brasil Soberano Business Moment",2026-09-21 12:38:00,2026,9,September,2026-09
Brasil,Búsqueda Agência Brasil (Google News),Agência Brasil,N/A,"Resultado, Mega, Sena, Veja, Cidades",Resultado Mega-Sena 3060: veja cidades das apostas do RJ premiadas - Rádio Itatiaia,2026-09-21 12:28,https://news.google.com/rss/articles/CBMitAFBVV95cUxOX0E1alB2elAtdURVNWFnVWlMVUhNVEV6X3JmelhoZzF3TUdHTUFNeDE1WmMxR1JESHpXci1FTXJiMGJjTEdfOXhPQzRveUFlNWltY2tEYjNuRDdpdE9nYjloSDBFXzlZblgzdmp0Wlo2eGhKTWRSZDM1UmpyVGRpUVN6bV9Yb2wzTktvQlNVRVNSdXZ2UzRMOVA0ZE1VSENwRzM5aEZjMGNBM0k5M203RUlDQlk?oc=5,Resultado Mega-Sena 3060: veja cidades das apostas do RJ premiadas Rádio Itatiaia,2026-09-21 12:28:00,2026,9,September,2026-09
Brasil,Búsqueda Agência Brasil (Google News),Agência Brasil,N/A,"Agricultura, Ganha, Milhões, Hectares, Anos",Agricultura ganha 11 milhões de hectares em 41 anos na Mata Atlântica - Aracaju Magazine,2026-09-21 12:28,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTG9UZXJMekxjdmFJWi1QWGhrWHJVX0ZiTGszaTdLX0ZUVnBnQ1ZtdGplNnAweWlOMDlDVDFrV3ZjQ2FqVUpTUlR2cXJFa040cTRmRzB3SWs2M3NVWkMwVUg0VVNKRzdWakRWRWlXZHVUM1g3N2JQNko5OWU4Y3BoOE5tZGpla1p5aVhpOTJ5ZXRzQk9UVlVkeFQ0ZWd6UlVJYlN3?oc=5,Agricultura ganha 11 milhões de hectares em 41 anos na Mata Atlântica Aracaju Magazine,2026-09-21 12:28:00,2026,9,September,2026-09
Brasil,Búsqueda Agência Brasil (Google News),Agência Brasil,N/A,"Dólar, Segue, Semana, Consecutiva, Projeta","Dólar no fim de 2026 segue em R$ 5,20 pela 14ª semana consecutiva, projeta Focus - Jornal de Brasília",2026-09-21 12:25,https://news.google.com/rss/articles/CBMixwFBVV95cUxOV1lrNkZ1X2Z4QkpJSEppb2VGSjZGWVlpZ0JJMVJYVlBnUnBQczNHTHNpTk83UVJlNDhUUXpyWkZUbkxxdVpja3hBeFBadUd4TTA0N2FUQXUwb0NaTTBkZG5QUmExeEVDR19ONjc0WTduYnlRckFVOUllaTh4SnpYdmIxQU9kWkxvMWdpU2I4LVpxWTdIUU05OUNIWElDRnZURmhxZFdydko1QWpWSkpDSm4yTElrbi1NNEcxU2NEbE9veGZ2WlJZ?oc=5,"Dólar no fim de 2026 segue em R$ 5,20 pela 14ª semana consecutiva, projeta Focus Jornal de Brasília",2026-09-21 12:25:00,2026,9,September,2026-09
Brasil,Búsqueda BNDES (Google News),BNDES,N/A,"Banco, Mundial, Financiar, Descarbonização, Indústria","Banco Mundial vai financiar a descarbonização da indústria brasileira com R$ 5,4 bilhões - Grupo Amanhã",2026-09-21 12:16,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQbjdELTVkMVNCbHhpU0JFdDhMYkFRbXBDdy05eTM4Z3ZzaGxuZWNyb1VBeWdOeWdUYkFaMzI0bTFmZEhLYmJSWU1va0E1OGhtU2lwY2lGc1MyZGt2bzMzaHRtcURaQjZSZzdIMUx1b1VVVk1uNHFibWl5Q0poYzE0b2JQZEZ2a2E0Um5qLUh1Z0psbmEtMTRxdzFtbnJ4UVFqTU5ZUGpGYkhSWHhqTHkwV2tkdVEzV1ZyZnVJVnF1R3hMU080Yk1UM1MtbE14dl9Ld2c?oc=5,"Banco Mundial vai financiar a descarbonização da indústria brasileira com R$ 5,4 bilhões Grupo Amanhã",2026-09-21 12:16:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Petrobras, Adere, Programa, Subvenção, Litro",Petrobras adere ao programa de subvenção de R$ 1 por litro de diesel - OpiniãoCE,2026-09-21 12:02,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOUHppQmFmcWpyOFd1VFpfVzl0ODlabDRBU0J5QnIxN2ZXTWYyejVIUTN1WG1kSHNsZjBqZTBteGRHc1l3OTdCOFZyc0Q0dElVUDJmQ1M5Qm8yNkFRVEFXbl92M21vTzFRMDN1QmR3Q3FiVzc4YVZXZWxQOGkyWlgzOXZlUGh4MkJsUTNneGlTNEVQbXpxWTFTbDJXRDNSZkxOZERncG1HbWdjSkNacmpHUnBsd2pKMG9N?oc=5,Petrobras adere ao programa de subvenção de R$ 1 por litro de diesel OpiniãoCE,2026-09-21 12:02:00,2026,9,September,2026-09
Brasil,Búsqueda Agência Brasil (Google News),Agência Brasil,N/A,"Anvisa, Barra, Tirzepatida, Vendida, Paraguai",Anvisa barra tirzepatida vendida no Paraguai e proíbe até entrada para uso pessoal no Brasil - O POVO,2026-09-21 11:49,https://news.google.com/rss/articles/CBMiwwFBVV95cUxONzIxR1YwaEdPTVJqVXZLcmJmeTFQX1NEdFBzNlNMY1RveVRMblR6X2x1enZZanpDWXdPM3p2T2FCOFBxOVE2OWZwbmV2LUhYazB1Z3F3elNFX1p3amVVdDRYc09LVndMS0pCcGtRQkFqTDljMGFqRk1XU1ZqdmllTzlNa19taGViMFVLSnJGbzNXV014Q1FiVWhUR1pnUzlvRDZZVmRTUlZfTG5uMnRPc041TUVrWVdENklMSDNnUVZFam8?oc=5,Anvisa barra tirzepatida vendida no Paraguai e proíbe até entrada para uso pessoal no Brasil O POVO,2026-09-21 11:49:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Pede, Suspensão, Imediata, Licença, Petrobras",MPF pede suspensão imediata de licença da Petrobras para perfuração na Margem Equatorial - Brasil 247,2026-09-21 11:47,https://news.google.com/rss/articles/CBMizgFBVV95cUxQdXNTRG9UcVpzTUt1REh5N3FKSV9URVpKUWRJd3I5TGlHc19kX0JrTkpIVVVuemkzSWJsUUZWYkNYR21BVU5UUlRzb3hoQmZSS3hUazNKY0tzMTZ5OFR6ZWx6S01MX1VGbXl3NlpoX0tGdjFLUS1Eb1hLN3Q0dW93S3pKNFl5ZzMwMEpaei13bjBpSncySGRWOVhXaHFac1JmZjg2VjN1eUNPX3AxT1BVSGFjdVJ2eEVtLUZsRFJvazdiLVBGaVVuOXRwamF3UQ?oc=5,MPF pede suspensão imediata de licença da Petrobras para perfuração na Margem Equatorial Brasil 247,2026-09-21 11:47:00,2026,9,September,2026-09
Brasil,Búsqueda Valor Econômico (Google News),Valor Econômico,N/A,"Mercado, Eleva, Projeção, Ipca, Reduz","Mercado eleva projeção do IPCA de 2026 e reduz estimativas para Selic e PIB, aponta Focus - Valor Econômico",2026-09-21 11:43,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNR2tJZFNObUR6MEJDcXl5OGlGVTlDRE9UNU5JR2dGRnp1MkxZZWw0bm9ybXpZQ0dVNU5VajlYdWpBY3MxQlVyaUd1VW1Jd0hGdFItZTNNOEphYjFRbkNoZE1wRm1qSVFrNHpnYWwtcUdHNEp0QlFMZjhzbGtYN3FaQm1BaEFuUXlab0JDRHV2c212YVc1ZGJuUVozemdnaDlwNGlGdnFoNFptTFBBWjZWNEdwSUszbkZZV250Y2NHdGdYaGZqc1Nhc3A2OHFyZ0MySlEzUlV1QUpDR25v0gHrAUFVX3lxTE1UUmhGS3IzcjFoNFdHNlpreDlLZ3JXbDl6UWZGblpCVEtTUW80ZjRqSk93anpPS29lU3F3dVRlZzZzZDdWOVYxQTZCbmlvbkQyeTJqOENhNTFyUXhsV1lrNi1kVHlfd0dtN2pycmYwUDY1Q3FIdTJzbVZ0RU1udEItWmY4bDlBNXgxM2dqTnE1T3ZycWF6R0hRS0swSVVHeFVqb0dBVjVOOW1RMm16anJBcXU1dmlzR3hEa1dRZUUtSnNlVFVPb2djclRpYVhYa1AtZmFzb3BpakdtSGZvRUVVd3ZZT19oMk1OZEU?oc=5,"Mercado eleva projeção do IPCA de 2026 e reduz estimativas para Selic e PIB, aponta Focus Valor Econômico",2026-09-21 11:43:00,2026,9,September,2026-09
Brasil,Búsqueda Agência Brasil (Google News),Agência Brasil,N/A,"Lotofácil, Sorteia, Fortuna, Concurso, Nesta",Lotofácil sorteia fortuna no concurso 3785 nesta segunda-feira (21) - Rádio Itatiaia,2026-09-21 11:39,https://news.google.com/rss/articles/CBMitAFBVV95cUxNeEgtRm83UGg1dFpsbDZvNkhfMzZEMjNRTThaU0NqRDZMWk11ZVlCLWhtbHJVa1pEeG9tTmtsRUw5RFNLVng4RTJwQTlXWVB0b3d2VUlWM2J5Si1sVG1QMlZPb1E2ekM5N0xWaWZ6cW9BZHNjblpGWnVOWVB0QnhEMGQydUZSNWF0VlNJNUJCZ1BuWjZhSDN6Ry1sa2E0a1ZQTGdOSS1Xb211U0tlcjMwcGFoeW4?oc=5,Lotofácil sorteia fortuna no concurso 3785 nesta segunda-feira (21) Rádio Itatiaia,2026-09-21 11:39:00,2026,9,September,2026-09
Brasil,Búsqueda Petrobras (Google News),Petrobras,N/A,"Pede, Suspensão, Perfurações, Petrobras, Margem",MPF pede suspensão de perfurações da Petrobras na Margem Equatorial - CNN Brasil,2026-09-21 11:36,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNa0JlVjBKWHFWODBEU1lES3dxbmhGNHMwTVpYcFNXRmZHZzJBUmNjX1N0T0ZJMXNoVXhFZ09HYVlSb1R1a09QejctRExkS1JfNk1lRlZITkJkc2k1Skt0MEJzVm5TZVhFTFRmSFFtSkRoNkQ5dGJNT2RmbXo2cFNJbXJqdlJjQTFvdW9uYVdDM1hlQzY0RDBmbmxBSzl3a202d3RtS28wTEVXTGZ1dVV3TWR5azFrWGxXTHlodUhHRjNQeVU?oc=5,MPF pede suspensão de perfurações da Petrobras na Margem Equatorial CNN Brasil,2026-09-21 11:36:00,2026,9,September,2026-09
Brasil,Búsqueda MME (Google News),MME,N/A,"Mistura, Etanol, Gasolina, Pode, Chegar",Mistura de etanol na gasolina pode chegar a 35%; MME aguarda testes - JornalCana,2026-09-21 10:59,https://news.google.com/rss/articles/CBMirAFBVV95cUxOZXV6cFFrMjlrWGZBbVFFRUtud1RpWjVVNGRTT3ZUY1VTNDBLOU5KenE5RkRBZnQ4cU5YR1FTdFlsMHMzUEJma2cyckhudzJBbjdqaVdyUV84TWhnNVk1dml3SXhMbjAwSGlybFJxQWRqQUwyT2ZtM3BuUDlDQ0hRQkpzUHZDUmVCZExVNlFaVlphWjZpU1V5V2ZVWmFNS19PVmZjLTQzYW5kYnVL?oc=5,Mistura de etanol na gasolina pode chegar a 35%; MME aguarda testes JornalCana,2026-09-21 10:59:00,2026,9,September,2026-09
